,Fall,MajorName,College,Total,Male,Female
96,2000.0,HORT--HORT SCI,ACES,10.0,5.0,5.0
97,1986.0,Spanish,ACES,46.0,18.0,28.0
98,2000.0,HU DEV&FAM,ACES,5.0,1.0,4.0
99,2000.0,Horticulture,ACES,7.0,4.0,3.0
100,2000.0,Human & Community Development,ACES,23.0,6.0,17.0
101,1986.0,Secondary Education,ACES,44.0,17.0,27.0
102,1986.0,SOIL SCI,ACES,4.0,4.0,0.0
103,1986.0,REST MGMT,ACES,97.0,45.0,52.0
104,2000.0,INTRSRCCNSECON,ACES,1.0,0.0,1.0
105,2000.0,IRCE-CONS EC&F,ACES,76.0,51.0,25.0
106,2000.0,IRCE-E&NR MGMT,ACES,8.0,4.0,4.0
107,1986.0,Physics,ACES,364.0,327.0,37.0
108,2000.0,IRCE-INDCURRIC,ACES,8.0,7.0,1.0
109,2000.0,"IRCE-POL,TRD,DV",ACES,42.0,20.0,22.0
110,1986.0,PLANT PATH,ACES,37.0,27.0,10.0
111,1986.0,ORN HORT,ACES,63.0,30.0,33.0
112,2000.0,NRES - SOILS,ACES,3.0,1.0,2.0
113,1999.0,IRCE-CONS EC&F,ACES,77.0,47.0,30.0
114,1999.0,Human & Community Development,ACES,20.0,2.0,18.0
115,1999.0,Horticulture,ACES,11.0,8.0,3.0
116,1987.0,Teaching of German,ACES,9.0,1.0,8.0
117,1987.0,Teaching of French,ACES,19.0,1.0,18.0
118,1987.0,Teaching of English Sec Lang,ACES,63.0,15.0,48.0
119,1987.0,Teaching of Earth Science,ACES,1.0,1.0,0.0
120,1987.0,Teaching of Chemistry,ACES,15.0,9.0,6.0
121,1987.0,TEXT-APPRL,ACES,37.0,0.0,37.0
122,1998.0,IRCE-INDCURRIC,ACES,9.0,7.0,2.0
123,1998.0,"IRCE-POL,TRD,DV",ACES,25.0,12.0,13.0
124,1998.0,MKT TEXT&A,ACES,7.0,0.0,7.0
125,1998.0,Mechanical Agriculture,ACES,11.0,11.0,0.0
126,1998.0,NRES - SOILS,ACES,5.0,2.0,3.0
127,1998.0,NRES-BIOL SCI,ACES,117.0,54.0,63.0
128,1998.0,NRES-SOC SCI,ACES,36.0,16.0,20.0
129,1998.0,Natural Res & Env Sciences,ACES,2.0,1.0,1.0
130,1987.0,Statistics,ACES,54.0,27.0,27.0
131,1998.0,Natural Resrcs & Environ Sci,ACES,98.0,60.0,38.0
132,1987.0,Speech & Hearing Science,ACES,101.0,2.0,99.0
133,1987.0,Spanish,ACES,43.0,19.0,24.0
134,1998.0,Nutritional Sciences,ACES,44.0,14.0,30.0
135,1998.0,ORN HORT,ACES,39.0,17.0,22.0
136,1987.0,Secondary Education,ACES,31.0,18.0,13.0
137,1987.0,SOIL SCI,ACES,2.0,2.0,0.0
138,1998.0,PLANT PATH,ACES,12.0,10.0,2.0
139,1987.0,REST MGMT,ACES,110.0,53.0,57.0
140,1998.0,Physics,ACES,275.0,255.0,20.0
141,1987.0,Teaching of Mathematics,ACES,44.0,11.0,33.0
142,1987.0,Physics,ACES,386.0,345.0,41.0
143,1987.0,Teaching of Physics,ACES,1.0,0.0,1.0
144,1998.0,IRCE-CONS EC&F,ACES,50.0,35.0,15.0
145,1998.0,CONSM ECON,ACES,3.0,0.0,3.0
146,1998.0,Crop Sciences,ACES,101.0,68.0,33.0
147,1998.0,DIETETICS,ACES,10.0,1.0,9.0
148,1988.0,Animal Sciences,ACES,380.0,180.0,200.0
149,1988.0,Agronomy,ACES,139.0,110.0,29.0
150,1988.0,Agricultural Sciences,ACES,44.0,31.0,13.0
151,1988.0,Agricultural Engineering,ACES,57.0,52.0,5.0
152,1988.0,Agricultural Education,ACES,14.0,10.0,4.0
153,1988.0,Agricultural Communications,ACES,73.0,20.0,53.0
154,1988.0,Agricultural & Applied Econ,ACES,380.0,328.0,52.0
155,1988.0,Agr & Environmental Cmc & Educ,ACES,4.0,3.0,1.0
156,1998.0,Food Science & Human Nutrition,ACES,346.0,98.0,248.0
157,1998.0,Forestry,ACES,48.0,28.0,20.0
158,1998.0,H DVL-FAM,ACES,66.0,4.0,62.0
159,1998.0,HDFS,ACES,1.0,0.0,1.0
160,1987.0,VOC H E ED,ACES,11.0,0.0,11.0
161,1998.0,HDFS-CH&AD DEV,ACES,94.0,6.0,88.0
162,1998.0,HDFS-FS,ACES,36.0,2.0,34.0
163,1998.0,HORT -- P&M,ACES,58.0,27.0,31.0
164,1998.0,HORT--HORT SCI,ACES,7.0,2.0,5.0
165,1998.0,HR&FS A&ID,ACES,3.0,0.0,3.0
166,1998.0,HU DEV&FAM,ACES,12.0,2.0,10.0
167,1998.0,Horticulture,ACES,21.0,12.0,9.0
168,1998.0,Human & Community Development,ACES,11.0,2.0,9.0
169,1998.0,INTRSRCCNSECON,ACES,2.0,1.0,1.0
170,1998.0,IRCE-E&NR MGMT,ACES,6.0,4.0,2.0
171,1986.0,HR&FS GEN,ACES,4.0,0.0,4.0
172,1998.0,REST MGMT,ACES,13.0,7.0,6.0
173,1987.0,PLANT PATH,ACES,32.0,23.0,9.0
174,1987.0,Horticulture,ACES,53.0,33.0,20.0
175,1987.0,HU DEV&FAM,ACES,13.0,0.0,13.0
176,1987.0,HR&FS GEN,ACES,3.0,0.0,3.0
177,1987.0,HR&FS A&ID,ACES,15.0,2.0,13.0
178,1987.0,HOME ECON,ACES,1.0,0.0,1.0
179,1987.0,H DVL-FAM,ACES,96.0,3.0,93.0
180,1999.0,CFTM-CNSMR&TXTL,ACES,84.0,13.0,71.0
181,1999.0,CFTM-MKT&PRICE,ACES,30.0,24.0,6.0
182,1999.0,Crop Sciences,ACES,153.0,111.0,42.0
183,1987.0,GEN H ECON,ACES,7.0,0.0,7.0
184,1999.0,DIETETICS,ACES,1.0,0.0,1.0
185,1987.0,GEN AGR,ACES,13.0,8.0,5.0
186,1987.0,Forestry,ACES,66.0,54.0,12.0
187,1987.0,Food Science & Human Nutrition,ACES,222.0,77.0,145.0
188,1987.0,FAM&CON EC,ACES,17.0,5.0,12.0
189,1999.0,Food Science & Human Nutrition,ACES,357.0,97.0,260.0
190,1999.0,Forestry,ACES,32.0,20.0,12.0
191,1999.0,H DVL-FAM,ACES,28.0,3.0,25.0
192,1999.0,HDFS,ACES,2.0,0.0,2.0
193,1999.0,HDFS-CH&AD DEV,ACES,113.0,3.0,110.0
194,1999.0,HDFS-FS,ACES,58.0,9.0,49.0
195,1999.0,HORT -- P&M,ACES,89.0,38.0,51.0
196,1987.0,EXT EDUC,ACES,9.0,7.0,2.0
197,1999.0,HORT--HORT SCI,ACES,6.0,4.0,2.0
198,1999.0,HU DEV&FAM,ACES,7.0,2.0,5.0
199,1987.0,INST MGMT,ACES,7.0,1.0,6.0
